,Species,island,Bill Length (mm),Bill Depth (mm),Flipper Length (mm),Body Mass (g),sex,year,Flag_outliners,body_mass_kg,bill_ratio,size_class
28,Adelie,Biscoe,37.9,18.6,172.0,3150.0,Female,2007,False,3.15,2.0376344086021505,Small
29,Adelie,Biscoe,40.5,18.9,180.0,3950.0,Male,2007,False,3.95,2.1428571428571432,Medium
30,Adelie,Dream,39.5,16.7,178.0,3250.0,Female,2007,False,3.25,2.3652694610778444,Small
31,Adelie,Dream,37.2,18.1,178.0,3900.0,Male,2007,False,3.9,2.0552486187845305,Medium
32,Adelie,Dream,39.5,17.8,188.0,3300.0,Female,2007,False,3.3,2.2191011235955056,Small
33,Adelie,Dream,40.9,18.9,184.0,3900.0,Male,2007,False,3.9,2.164021164021164,Medium
34,Adelie,Dream,36.4,17.0,195.0,3325.0,Female,2007,False,3.325,2.1411764705882352,Small
35,Adelie,Dream,39.2,21.1,196.0,4150.0,Male,2007,False,4.15,1.8578199052132702,Medium
36,Adelie,Dream,38.8,20.0,190.0,3950.0,Male,2007,False,3.95,1.94,Medium
37,Adelie,Dream,42.2,18.5,180.0,3550.0,Female,2007,False,3.55,2.2810810810810813,Small
38,Adelie,Dream,37.6,19.3,181.0,3300.0,Female,2007,False,3.3,1.9481865284974094,Small
39,Adelie,Dream,39.8,19.1,184.0,4650.0,Male,2007,False,4.65,2.083769633507853,Large
40,Adelie,Dream,36.5,18.0,182.0,3150.0,Female,2007,False,3.15,2.0277777777777777,Small
41,Adelie,Dream,40.8,18.4,195.0,3900.0,Male,2007,False,3.9,2.217391304347826,Medium
42,Adelie,Dream,36.0,18.5,186.0,3100.0,Female,2007,False,3.1,1.945945945945946,Small
43,Adelie,Dream,44.1,19.7,196.0,4400.0,Male,2007,False,4.4,2.238578680203046,Medium
44,Adelie,Dream,37.0,16.9,185.0,3000.0,Female,2007,False,3.0,2.1893491124260356,Small
45,Adelie,Dream,39.6,18.8,190.0,4600.0,Male,2007,False,4.6,2.106382978723404,Large
46,Adelie,Dream,41.1,19.0,182.0,3425.0,Male,2007,False,3.425,2.1631578947368424,Small
48,Adelie,Dream,36.0,17.9,190.0,3450.0,Female,2007,False,3.45,2.011173184357542,Small
49,Adelie,Dream,42.3,21.2,191.0,4150.0,Male,2007,False,4.15,1.9952830188679245,Medium
50,Adelie,Biscoe,39.6,17.7,186.0,3500.0,Female,2008,False,3.5,2.2372881355932206,Small
51,Adelie,Biscoe,40.1,18.9,188.0,4300.0,Male,2008,False,4.3,2.121693121693122,Medium
52,Adelie,Biscoe,35.0,17.9,190.0,3450.0,Female,2008,False,3.45,1.9553072625698324,Small
53,Adelie,Biscoe,42.0,19.5,200.0,4050.0,Male,2008,False,4.05,2.1538461538461537,Medium
54,Adelie,Biscoe,34.5,18.1,187.0,2900.0,Female,2008,False,2.9,1.9060773480662982,Small
55,Adelie,Biscoe,41.4,18.6,191.0,3700.0,Male,2008,False,3.7,2.225806451612903,Small
56,Adelie,Biscoe,39.0,17.5,186.0,3550.0,Female,2008,False,3.55,2.2285714285714286,Small
57,Adelie,Biscoe,40.6,18.8,193.0,3800.0,Male,2008,False,3.8,2.1595744680851063,Medium
58,Adelie,Biscoe,36.5,16.6,181.0,2850.0,Female,2008,False,2.85,2.1987951807228914,Small
59,Adelie,Biscoe,37.6,19.1,194.0,3750.0,Male,2008,False,3.75,1.9685863874345548,Medium
60,Adelie,Biscoe,35.7,16.9,185.0,3150.0,Female,2008,False,3.15,2.112426035502959,Small
61,Adelie,Biscoe,41.3,21.1,195.0,4400.0,Male,2008,False,4.4,1.9573459715639807,Medium
62,Adelie,Biscoe,37.6,17.0,185.0,3600.0,Female,2008,False,3.6,2.211764705882353,Small
63,Adelie,Biscoe,41.1,18.2,192.0,4050.0,Male,2008,False,4.05,2.258241758241758,Medium
64,Adelie,Biscoe,36.4,17.1,184.0,2850.0,Female,2008,False,2.85,2.1286549707602336,Small
65,Adelie,Biscoe,41.6,18.0,192.0,3950.0,Male,2008,False,3.95,2.3111111111111113,Medium
66,Adelie,Biscoe,35.5,16.2,195.0,3350.0,Female,2008,False,3.35,2.191358024691358,Small
67,Adelie,Biscoe,41.1,19.1,188.0,4100.0,Male,2008,False,4.1,2.1518324607329844,Medium
68,Adelie,Torgersen,35.9,16.6,190.0,3050.0,Female,2008,False,3.05,2.1626506024096384,Small
69,Adelie,Torgersen,41.8,19.4,198.0,4450.0,Male,2008,False,4.45,2.154639175257732,Medium
70,Adelie,Torgersen,33.5,19.0,190.0,3600.0,Female,2008,False,3.6,1.763157894736842,Small
71,Adelie,Torgersen,39.7,18.4,190.0,3900.0,Male,2008,False,3.9,2.1576086956521743,Medium
72,Adelie,Torgersen,39.6,17.2,196.0,3550.0,Female,2008,False,3.55,2.302325581395349,Small
73,Adelie,Torgersen,45.8,18.9,197.0,4150.0,Male,2008,False,4.15,2.4232804232804233,Medium
74,Adelie,Torgersen,35.5,17.5,190.0,3700.0,Female,2008,False,3.7,2.0285714285714285,Small
75,Adelie,Torgersen,42.8,18.5,195.0,4250.0,Male,2008,False,4.25,2.3135135135135134,Medium
76,Adelie,Torgersen,40.9,16.8,191.0,3700.0,Female,2008,False,3.7,2.4345238095238093,Small
77,Adelie,Torgersen,37.2,19.4,184.0,3900.0,Male,2008,False,3.9,1.9175257731958766,Medium
78,Adelie,Torgersen,36.2,16.1,187.0,3550.0,Female,2008,False,3.55,2.248447204968944,Small
79,Adelie,Torgersen,42.1,19.1,195.0,4000.0,Male,2008,False,4.0,2.2041884816753927,Medium
80,Adelie,Torgersen,34.6,17.2,189.0,3200.0,Female,2008,False,3.2,2.011627906976744,Small
81,Adelie,Torgersen,42.9,17.6,196.0,4700.0,Male,2008,False,4.7,2.4374999999999996,Large
82,Adelie,Torgersen,36.7,18.8,187.0,3800.0,Female,2008,False,3.8,1.952127659574468,Medium
83,Adelie,Torgersen,35.1,19.4,193.0,4200.0,Male,2008,False,4.2,1.8092783505154642,Medium
84,Adelie,Dream,37.3,17.8,191.0,3350.0,Female,2008,False,3.35,2.095505617977528,Small
85,Adelie,Dream,41.3,20.3,194.0,3550.0,Male,2008,False,3.55,2.0344827586206895,Small
86,Adelie,Dream,36.3,19.5,190.0,3800.0,Male,2008,False,3.8,1.8615384615384614,Medium
87,Adelie,Dream,36.9,18.6,189.0,3500.0,Female,2008,False,3.5,1.9838709677419353,Small
88,Adelie,Dream,38.3,19.2,189.0,3950.0,Male,2008,False,3.95,1.9947916666666665,Medium
89,Adelie,Dream,38.9,18.8,190.0,3600.0,Female,2008,False,3.6,2.0691489361702127,Small
90,Adelie,Dream,35.7,18.0,202.0,3550.0,Female,2008,False,3.55,1.9833333333333334,Small
91,Adelie,Dream,41.1,18.1,205.0,4300.0,Male,2008,False,4.3,2.270718232044199,Medium
92,Adelie,Dream,34.0,17.1,185.0,3400.0,Female,2008,False,3.4,1.9883040935672514,Small
93,Adelie,Dream,39.6,18.1,186.0,4450.0,Male,2008,False,4.45,2.187845303867403,Medium
94,Adelie,Dream,36.2,17.3,187.0,3300.0,Female,2008,False,3.3,2.092485549132948,Small
95,Adelie,Dream,40.8,18.9,208.0,4300.0,Male,2008,False,4.3,2.1587301587301586,Medium
96,Adelie,Dream,38.1,18.6,190.0,3700.0,Female,2008,False,3.7,2.0483870967741935,Small
97,Adelie,Dream,40.3,18.5,196.0,4350.0,Male,2008,False,4.35,2.1783783783783783,Medium
98,Adelie,Dream,33.1,16.1,178.0,2900.0,Female,2008,False,2.9,2.0559006211180124,Small
99,Adelie,Dream,43.2,18.5,192.0,4100.0,Male,2008,False,4.1,2.3351351351351353,Medium
100,Adelie,Biscoe,35.0,17.9,192.0,3725.0,Female,2009,False,3.725,1.9553072625698324,Medium
101,Adelie,Biscoe,41.0,20.0,203.0,4725.0,Male,2009,False,4.725,2.05,Large
102,Adelie,Biscoe,37.7,16.0,183.0,3075.0,Female,2009,False,3.075,2.35625,Small
103,Adelie,Biscoe,37.8,20.0,190.0,4250.0,Male,2009,False,4.25,1.89,Medium
104,Adelie,Biscoe,37.9,18.6,193.0,2925.0,Female,2009,False,2.925,2.0376344086021505,Small
105,Adelie,Biscoe,39.7,18.9,184.0,3550.0,Male,2009,False,3.55,2.100529100529101,Small
106,Adelie,Biscoe,38.6,17.2,199.0,3750.0,Female,2009,False,3.75,2.244186046511628,Medium
107,Adelie,Biscoe,38.2,20.0,190.0,3900.0,Male,2009,False,3.9,1.9100000000000001,Medium
108,Adelie,Biscoe,38.1,17.0,181.0,3175.0,Female,2009,False,3.175,2.2411764705882353,Small
109,Adelie,Biscoe,43.2,19.0,197.0,4775.0,Male,2009,False,4.775,2.2736842105263158,Large
110,Adelie,Biscoe,38.1,16.5,198.0,3825.0,Female,2009,False,3.825,2.309090909090909,Medium
111,Adelie,Biscoe,45.6,20.3,191.0,4600.0,Male,2009,False,4.6,2.2463054187192117,Large
112,Adelie,Biscoe,39.7,17.7,193.0,3200.0,Female,2009,False,3.2,2.2429378531073447,Small
113,Adelie,Biscoe,42.2,19.5,197.0,4275.0,Male,2009,False,4.275,2.1641025641025644,Medium
114,Adelie,Biscoe,39.6,20.7,191.0,3900.0,Female,2009,False,3.9,1.9130434782608696,Medium
115,Adelie,Biscoe,42.7,18.3,196.0,4075.0,Male,2009,False,4.075,2.3333333333333335,Medium
116,Adelie,Torgersen,38.6,17.0,188.0,2900.0,Female,2009,False,2.9,2.2705882352941176,Small
117,Adelie,Torgersen,37.3,20.5,199.0,3775.0,Male,2009,False,3.775,1.819512195121951,Medium
118,Adelie,Torgersen,35.7,17.0,189.0,3350.0,Female,2009,False,3.35,2.1,Small
119,Adelie,Torgersen,41.1,18.6,189.0,3325.0,Male,2009,False,3.325,2.2096774193548385,Small
120,Adelie,Torgersen,36.2,17.2,187.0,3150.0,Female,2009,False,3.15,2.104651162790698,Small
121,Adelie,Torgersen,37.7,19.8,198.0,3500.0,Male,2009,False,3.5,1.9040404040404042,Small
122,Adelie,Torgersen,40.2,17.0,176.0,3450.0,Female,2009,False,3.45,2.364705882352941,Small
123,Adelie,Torgersen,41.4,18.5,202.0,3875.0,Male,2009,False,3.875,2.2378378378378376,Medium
124,Adelie,Torgersen,35.2,15.9,186.0,3050.0,Female,2009,False,3.05,2.2138364779874213,Small
125,Adelie,Torgersen,40.6,19.0,199.0,4000.0,Male,2009,False,4.0,2.136842105263158,Medium
126,Adelie,Torgersen,38.8,17.6,191.0,3275.0,Female,2009,False,3.275,2.204545454545454,Small
127,Adelie,Torgersen,41.5,18.3,195.0,4300.0,Male,2009,False,4.3,2.26775956284153,Medium
128,Adelie,Torgersen,39.0,17.1,191.0,3050.0,Female,2009,False,3.05,2.280701754385965,Small
129,Adelie,Torgersen,44.1,18.0,210.0,4000.0,Male,2009,False,4.0,2.45,Medium
130,Adelie,Torgersen,38.5,17.9,190.0,3325.0,Female,2009,False,3.325,2.1508379888268156,Small
131,Adelie,Torgersen,43.1,19.2,197.0,3500.0,Male,2009,False,3.5,2.244791666666667,Small
132,Adelie,Dream,36.8,18.5,193.0,3500.0,Female,2009,False,3.5,1.989189189189189,Small
133,Adelie,Dream,37.5,18.5,199.0,4475.0,Male,2009,False,4.475,2.027027027027027,Medium
134,Adelie,Dream,38.1,17.6,187.0,3425.0,Female,2009,False,3.425,2.164772727272727,Small
135,Adelie,Dream,41.1,17.5,190.0,3900.0,Male,2009,False,3.9,2.3485714285714288,Medium
136,Adelie,Dream,35.6,17.5,191.0,3175.0,Female,2009,False,3.175,2.0342857142857143,Small
137,Adelie,Dream,40.2,20.1,200.0,3975.0,Male,2009,False,3.975,2.0,Medium
138,Adelie,Dream,37.0,16.5,185.0,3400.0,Female,2009,False,3.4,2.242424242424242,Small
139,Adelie,Dream,39.7,17.9,193.0,4250.0,Male,2009,False,4.25,2.217877094972067,Medium
140,Adelie,Dream,40.2,17.1,193.0,3400.0,Female,2009,False,3.4,2.350877192982456,Small
141,Adelie,Dream,40.6,17.2,187.0,3475.0,Male,2009,False,3.475,2.36046511627907,Small
142,Adelie,Dream,32.1,15.5,188.0,3050.0,Female,2009,False,3.05,2.070967741935484,Small
143,Adelie,Dream,40.7,17.0,190.0,3725.0,Male,2009,False,3.725,2.394117647058824,Medium
144,Adelie,Dream,37.3,16.8,192.0,3000.0,Female,2009,False,3.0,2.220238095238095,Small
145,Adelie,Dream,39.0,18.7,185.0,3650.0,Male,2009,False,3.65,2.085561497326203,Small
146,Adelie,Dream,39.2,18.6,190.0,4250.0,Male,2009,False,4.25,2.10752688172043,Medium
147,Adelie,Dream,36.6,18.4,184.0,3475.0,Female,2009,False,3.475,1.9891304347826089,Small
148,Adelie,Dream,36.0,17.8,195.0,3450.0,Female,2009,False,3.45,2.0224719101123596,Small
149,Adelie,Dream,37.8,18.1,193.0,3750.0,Male,2009,False,3.75,2.0883977900552484,Medium
150,Adelie,Dream,36.0,17.1,187.0,3700.0,Female,2009,False,3.7,2.1052631578947367,Small
151,Adelie,Dream,41.5,18.5,201.0,4000.0,Male,2009,False,4.0,2.2432432432432434,Medium
152,Gentoo,Biscoe,46.1,13.2,211.0,4500.0,Female,2007,False,4.5,3.4924242424242427,Medium
153,Gentoo,Biscoe,50.0,16.3,230.0,5700.0,Male,2007,False,5.7,3.067484662576687,Large
154,Gentoo,Biscoe,48.7,14.1,210.0,4450.0,Female,2007,False,4.45,3.4539007092198584,Medium
155,Gentoo,Biscoe,50.0,15.2,218.0,5700.0,Male,2007,False,5.7,3.2894736842105265,Large
156,Gentoo,Biscoe,47.6,14.5,215.0,5400.0,Male,2007,False,5.4,3.282758620689655,Large
157,Gentoo,Biscoe,46.5,13.5,210.0,4550.0,Female,2007,False,4.55,3.4444444444444446,Medium
158,Gentoo,Biscoe,45.4,14.6,211.0,4800.0,Female,2007,False,4.8,3.1095890410958904,Large
159,Gentoo,Biscoe,46.7,15.3,219.0,5200.0,Male,2007,False,5.2,3.0522875816993467,Large
160,Gentoo,Biscoe,43.3,13.4,209.0,4400.0,Female,2007,False,4.4,3.231343283582089,Medium
161,Gentoo,Biscoe,46.8,15.4,215.0,5150.0,Male,2007,False,5.15,3.038961038961039,Large
162,Gentoo,Biscoe,40.9,13.7,214.0,4650.0,Female,2007,False,4.65,2.985401459854015,Large
163,Gentoo,Biscoe,49.0,16.1,216.0,5550.0,Male,2007,False,5.55,3.043478260869565,Large
164,Gentoo,Biscoe,45.5,13.7,214.0,4650.0,Female,2007,False,4.65,3.321167883211679,Large
165,Gentoo,Biscoe,48.4,14.6,213.0,5850.0,Male,2007,False,5.85,3.315068493150685,Large
166,Gentoo,Biscoe,45.8,14.6,210.0,4200.0,Female,2007,False,4.2,3.136986301369863,Medium
167,Gentoo,Biscoe,49.3,15.7,217.0,5850.0,Male,2007,False,5.85,3.140127388535032,Large
168,Gentoo,Biscoe,42.0,13.5,210.0,4150.0,Female,2007,False,4.15,3.111111111111111,Medium
169,Gentoo,Biscoe,49.2,15.2,221.0,6300.0,Male,2007,False,6.3,3.2368421052631584,Large
170,Gentoo,Biscoe,46.2,14.5,209.0,4800.0,Female,2007,False,4.8,3.1862068965517243,Large
171,Gentoo,Biscoe,48.7,15.1,222.0,5350.0,Male,2007,False,5.35,3.2251655629139075,Large
172,Gentoo,Biscoe,50.2,14.3,218.0,5700.0,Male,2007,False,5.7,3.5104895104895104,Large
173,Gentoo,Biscoe,45.1,14.5,215.0,5000.0,Female,2007,False,5.0,3.110344827586207,Large
174,Gentoo,Biscoe,46.5,14.5,213.0,4400.0,Female,2007,False,4.4,3.206896551724138,Medium
175,Gentoo,Biscoe,46.3,15.8,215.0,5050.0,Male,2007,False,5.05,2.9303797468354427,Large
176,Gentoo,Biscoe,42.9,13.1,215.0,5000.0,Female,2007,False,5.0,3.2748091603053435,Large
177,Gentoo,Biscoe,46.1,15.1,215.0,5100.0,Male,2007,False,5.1,3.0529801324503314,Large
179,Gentoo,Biscoe,47.8,15.0,215.0,5650.0,Male,2007,False,5.65,3.1866666666666665,Large
180,Gentoo,Biscoe,48.2,14.3,210.0,4600.0,Female,2007,False,4.6,3.370629370629371,Large
181,Gentoo,Biscoe,50.0,15.3,220.0,5550.0,Male,2007,False,5.55,3.2679738562091503,Large
182,Gentoo,Biscoe,47.3,15.3,222.0,5250.0,Male,2007,False,5.25,3.091503267973856,Large
183,Gentoo,Biscoe,42.8,14.2,209.0,4700.0,Female,2007,False,4.7,3.0140845070422535,Large
184,Gentoo,Biscoe,45.1,14.5,207.0,5050.0,Female,2007,False,5.05,3.110344827586207,Large
185,Gentoo,Biscoe,59.6,17.0,230.0,6050.0,Male,2007,False,6.05,3.5058823529411764,Large
186,Gentoo,Biscoe,49.1,14.8,220.0,5150.0,Female,2008,False,5.15,3.3175675675675675,Large
187,Gentoo,Biscoe,48.4,16.3,220.0,5400.0,Male,2008,False,5.4,2.969325153374233,Large
188,Gentoo,Biscoe,42.6,13.7,213.0,4950.0,Female,2008,False,4.95,3.109489051094891,Large
189,Gentoo,Biscoe,44.4,17.3,219.0,5250.0,Male,2008,False,5.25,2.566473988439306,Large
190,Gentoo,Biscoe,44.0,13.6,208.0,4350.0,Female,2008,False,4.35,3.235294117647059,Medium
191,Gentoo,Biscoe,48.7,15.7,208.0,5350.0,Male,2008,False,5.35,3.101910828025478,Large
192,Gentoo,Biscoe,42.7,13.7,208.0,3950.0,Female,2008,False,3.95,3.1167883211678835,Medium
193,Gentoo,Biscoe,49.6,16.0,225.0,5700.0,Male,2008,False,5.7,3.1,Large
194,Gentoo,Biscoe,45.3,13.7,210.0,4300.0,Female,2008,False,4.3,3.3065693430656933,Medium
195,Gentoo,Biscoe,49.6,15.0,216.0,4750.0,Male,2008,False,4.75,3.3066666666666666,Large
196,Gentoo,Biscoe,50.5,15.9,222.0,5550.0,Male,2008,False,5.55,3.1761006289308176,Large
197,Gentoo,Biscoe,43.6,13.9,217.0,4900.0,Female,2008,False,4.9,3.1366906474820144,Large
198,Gentoo,Biscoe,45.5,13.9,210.0,4200.0,Female,2008,False,4.2,3.273381294964029,Medium
199,Gentoo,Biscoe,50.5,15.9,225.0,5400.0,Male,2008,False,5.4,3.1761006289308176,Large
200,Gentoo,Biscoe,44.9,13.3,213.0,5100.0,Female,2008,False,5.1,3.37593984962406,Large
201,Gentoo,Biscoe,45.2,15.8,215.0,5300.0,Male,2008,False,5.3,2.8607594936708862,Large
202,Gentoo,Biscoe,46.6,14.2,210.0,4850.0,Female,2008,False,4.85,3.2816901408450705,Large
203,Gentoo,Biscoe,48.5,14.1,220.0,5300.0,Male,2008,False,5.3,3.4397163120567376,Large
204,Gentoo,Biscoe,45.1,14.4,210.0,4400.0,Female,2008,False,4.4,3.1319444444444446,Medium
205,Gentoo,Biscoe,50.1,15.0,225.0,5000.0,Male,2008,False,5.0,3.3400000000000003,Large
206,Gentoo,Biscoe,46.5,14.4,217.0,4900.0,Female,2008,False,4.9,3.2291666666666665,Large
207,Gentoo,Biscoe,45.0,15.4,220.0,5050.0,Male,2008,False,5.05,2.922077922077922,Large
208,Gentoo,Biscoe,43.8,13.9,208.0,4300.0,Female,2008,False,4.3,3.151079136690647,Medium
209,Gentoo,Biscoe,45.5,15.0,220.0,5000.0,Male,2008,False,5.0,3.033333333333333,Large
210,Gentoo,Biscoe,43.2,14.5,208.0,4450.0,Female,2008,False,4.45,2.9793103448275864,Medium
211,Gentoo,Biscoe,50.4,15.3,224.0,5550.0,Male,2008,False,5.55,3.2941176470588234,Large
212,Gentoo,Biscoe,45.3,13.8,208.0,4200.0,Female,2008,False,4.2,3.2826086956521734,Medium
213,Gentoo,Biscoe,46.2,14.9,221.0,5300.0,Male,2008,False,5.3,3.1006711409395975,Large
214,Gentoo,Biscoe,45.7,13.9,214.0,4400.0,Female,2008,False,4.4,3.287769784172662,Medium
215,Gentoo,Biscoe,54.3,15.7,231.0,5650.0,Male,2008,False,5.65,3.4585987261146496,Large
216,Gentoo,Biscoe,45.8,14.2,219.0,4700.0,Female,2008,False,4.7,3.2253521126760565,Large
217,Gentoo,Biscoe,49.8,16.8,230.0,5700.0,Male,2008,False,5.7,2.964285714285714,Large
219,Gentoo,Biscoe,49.5,16.2,229.0,5800.0,Male,2008,False,5.8,3.055555555555556,Large
220,Gentoo,Biscoe,43.5,14.2,220.0,4700.0,Female,2008,False,4.7,3.063380281690141,Large
221,Gentoo,Biscoe,50.7,15.0,223.0,5550.0,Male,2008,False,5.55,3.3800000000000003,Large
222,Gentoo,Biscoe,47.7,15.0,216.0,4750.0,Female,2008,False,4.75,3.18,Large
223,Gentoo,Biscoe,46.4,15.6,221.0,5000.0,Male,2008,False,5.0,2.9743589743589745,Large
224,Gentoo,Biscoe,48.2,15.6,221.0,5100.0,Male,2008,False,5.1,3.08974358974359,Large
225,Gentoo,Biscoe,46.5,14.8,217.0,5200.0,Female,2008,False,5.2,3.1418918918918917,Large
226,Gentoo,Biscoe,46.4,15.0,216.0,4700.0,Female,2008,False,4.7,3.0933333333333333,Large
227,Gentoo,Biscoe,48.6,16.0,230.0,5800.0,Male,2008,False,5.8,3.0375,Large
228,Gentoo,Biscoe,47.5,14.2,209.0,4600.0,Female,2008,False,4.6,3.3450704225352115,Large
229,Gentoo,Biscoe,51.1,16.3,220.0,6000.0,Male,2008,False,6.0,3.1349693251533743,Large
230,Gentoo,Biscoe,45.2,13.8,215.0,4750.0,Female,2008,False,4.75,3.2753623188405796,Large
231,Gentoo,Biscoe,45.2,16.4,223.0,5950.0,Male,2008,False,5.95,2.75609756097561,Large
232,Gentoo,Biscoe,49.1,14.5,212.0,4625.0,Female,2009,False,4.625,3.386206896551724,Large
233,Gentoo,Biscoe,52.5,15.6,221.0,5450.0,Male,2009,False,5.45,3.3653846153846154,Large
234,Gentoo,Biscoe,47.4,14.6,212.0,4725.0,Female,2009,False,4.725,3.2465753424657535,Large
235,Gentoo,Biscoe,50.0,15.9,224.0,5350.0,Male,2009,False,5.35,3.144654088050314,Large
236,Gentoo,Biscoe,44.9,13.8,212.0,4750.0,Female,2009,False,4.75,3.253623188405797,Large
237,Gentoo,Biscoe,50.8,17.3,228.0,5600.0,Male,2009,False,5.6,2.936416184971098,Large
238,Gentoo,Biscoe,43.4,14.4,218.0,4600.0,Female,2009,False,4.6,3.013888888888889,Large
239,Gentoo,Biscoe,51.3,14.2,218.0,5300.0,Male,2009,False,5.3,3.612676056338028,Large
240,Gentoo,Biscoe,47.5,14.0,212.0,4875.0,Female,2009,False,4.875,3.392857142857143,Large
241,Gentoo,Biscoe,52.1,17.0,230.0,5550.0,Male,2009,False,5.55,3.0647058823529414,Large
242,Gentoo,Biscoe,47.5,15.0,218.0,4950.0,Female,2009,False,4.95,3.1666666666666665,Large
243,Gentoo,Biscoe,52.2,17.1,228.0,5400.0,Male,2009,False,5.4,3.052631578947368,Large
244,Gentoo,Biscoe,45.5,14.5,212.0,4750.0,Female,2009,False,4.75,3.1379310344827585,Large
245,Gentoo,Biscoe,49.5,16.1,224.0,5650.0,Male,2009,False,5.65,3.074534161490683,Large
246,Gentoo,Biscoe,44.5,14.7,214.0,4850.0,Female,2009,False,4.85,3.0272108843537415,Large
247,Gentoo,Biscoe,50.8,15.7,226.0,5200.0,Male,2009,False,5.2,3.2356687898089174,Large
248,Gentoo,Biscoe,49.4,15.8,216.0,4925.0,Male,2009,False,4.925,3.1265822784810124,Large
249,Gentoo,Biscoe,46.9,14.6,222.0,4875.0,Female,2009,False,4.875,3.212328767123288,Large
250,Gentoo,Biscoe,48.4,14.4,203.0,4625.0,Female,2009,False,4.625,3.3611111111111107,Large
251,Gentoo,Biscoe,51.1,16.5,225.0,5250.0,Male,2009,False,5.25,3.096969696969697,Large
252,Gentoo,Biscoe,48.5,15.0,219.0,4850.0,Female,2009,False,4.85,3.2333333333333334,Large
253,Gentoo,Biscoe,55.9,17.0,228.0,5600.0,Male,2009,False,5.6,3.288235294117647,Large
254,Gentoo,Biscoe,47.2,15.5,215.0,4975.0,Female,2009,False,4.975,3.045161290322581,Large
255,Gentoo,Biscoe,49.1,15.0,228.0,5500.0,Male,2009,False,5.5,3.2733333333333334,Large
257,Gentoo,Biscoe,46.8,16.1,215.0,5500.0,Male,2009,False,5.5,2.9068322981366457,Large
258,Gentoo,Biscoe,41.7,14.7,210.0,4700.0,Female,2009,False,4.7,2.8367346938775513,Large
259,Gentoo,Biscoe,53.4,15.8,219.0,5500.0,Male,2009,False,5.5,3.3797468354430378,Large
260,Gentoo,Biscoe,43.3,14.0,208.0,4575.0,Female,2009,False,4.575,3.0928571428571425,Large
261,Gentoo,Biscoe,48.1,15.1,209.0,5500.0,Male,2009,False,5.5,3.185430463576159,Large
262,Gentoo,Biscoe,50.5,15.2,216.0,5000.0,Female,2009,False,5.0,3.322368421052632,Large
263,Gentoo,Biscoe,49.8,15.9,229.0,5950.0,Male,2009,False,5.95,3.132075471698113,Large
264,Gentoo,Biscoe,43.5,15.2,213.0,4650.0,Female,2009,False,4.65,2.861842105263158,Large
265,Gentoo,Biscoe,51.5,16.3,230.0,5500.0,Male,2009,False,5.5,3.1595092024539877,Large
