order_id,order_date,customer_id,city,region,product,category,quantity,unit_price,discount_pct,gross_amount,net_amount,order_month,order_size
101040,2026-02-12,CUST01040,Port Said,Unknown,Notebook Pack,Stationery,8,240.0,20,1920.0,1536.0,2026-02,Medium
101041,2026-09-25,CUST01041,Cairo,Greater Cairo,Laptop,Electronics,9,28785.0,0,259065.0,259065.0,2026-09,Large
101042,2026-04-10,CUST01042,Giza,Greater Cairo,Smartphone,Electronics,10,14790.0,5,147900.0,140505.0,2026-04,Large
101043,2026-11-23,CUST01043,Alexandria,Coastal,Wireless Mouse,Accessories,11,463.5,10,5098.5,4588.65,2026-11,Medium
101044,2026-06-08,CUST01044,Mansoura,Delta,Keyboard,Accessories,12,884.0,15,10608.0,9016.8,2026-06,Medium
101045,2026-01-21,CUST01045,Tanta,Unknown,Office Chair,Furniture,1,5460.0,20,5460.0,4368.0,2026-01,Medium
101046,2026-08-06,CUST01046,Aswan,Unknown,Desk,Furniture,2,7844.0,0,15688.0,15688.0,2026-08,Large
101047,2026-03-19,CUST01047,Luxor,Unknown,Headphones,Electronics,3,1926.0,5,5778.0,5489.1,2026-03,Medium
101048,2026-10-04,CUST01048,Port Said,Unknown,Monitor,Electronics,4,9936.0,10,39744.0,35769.6,2026-10,Large
101049,2026-05-17,CUST01049,Cairo,Greater Cairo,Printer,Office Equipment,5,7412.0,15,37060.0,31501.0,2026-05,Large
101050,2026-12-02,CUST01050,Giza,Greater Cairo,Notebook Pack,Stationery,6,264.0,20,1584.0,1267.2,2026-12,Medium
101051,2026-07-15,CUST01051,Alexandria,Coastal,Laptop,Electronics,7,25650.0,0,179550.0,179550.0,2026-07,Large
101052,2026-02-28,CUST01052,Mansoura,Delta,Smartphone,Electronics,8,13195.0,5,105560.0,100282.0,2026-02,Large
101053,2026-09-13,CUST01053,Tanta,Unknown,Wireless Mouse,Accessories,9,414.0,10,3726.0,3353.4,2026-09,Medium
101054,2026-04-26,CUST01054,Aswan,Unknown,Keyboard,Accessories,10,790.5,15,7905.0,6719.25,2026-04,Medium
101055,2026-11-11,CUST01055,Luxor,Unknown,Office Chair,Furniture,11,4888.0,20,53768.0,43014.4,2026-11,Large
101056,2026-06-24,CUST01056,Port Said,Unknown,Desk,Furniture,12,7030.0,0,84360.0,84360.0,2026-06,Large
101057,2026-01-09,CUST01057,Cairo,Greater Cairo,Headphones,Electronics,1,1728.0,5,1728.0,1641.6,2026-01,Medium
101058,2026-08-22,CUST01058,Giza,Greater Cairo,Monitor,Electronics,2,8924.0,10,17848.0,16063.2,2026-08,Large
101059,2026-03-07,CUST01059,Alexandria,Coastal,Printer,Office Equipment,3,6664.0,15,19992.0,16993.2,2026-03,Large
101060,2026-10-20,CUST01060,Mansoura,Delta,Notebook Pack,Stationery,4,237.6,20,950.4,760.32,2026-10,Small
101061,2026-05-05,CUST01061,Tanta,Unknown,Laptop,Electronics,5,28500.0,0,142500.0,142500.0,2026-05,Large
101062,2026-12-18,CUST01062,Aswan,Unknown,Smartphone,Electronics,6,14645.0,5,87870.0,83476.5,2026-12,Large
101063,2026-07-03,CUST01063,Luxor,Unknown,Wireless Mouse,Accessories,7,459.0,10,3213.0,2891.7,2026-07,Medium
101064,2026-02-16,CUST01064,Port Said,Unknown,Keyboard,Accessories,8,875.5,15,7004.0,5953.4,2026-02,Medium
101065,2026-09-01,CUST01065,Cairo,Greater Cairo,Office Chair,Furniture,9,5408.0,20,48672.0,38937.6,2026-09,Large
101066,2026-04-14,CUST01066,Giza,Greater Cairo,Desk,Furniture,10,7770.0,0,77700.0,77700.0,2026-04,Large
101067,2026-11-27,CUST01067,Alexandria,Coastal,Headphones,Electronics,11,1908.0,5,20988.0,19938.6,2026-11,Large
101068,2026-06-12,CUST01068,Unknown,Unknown,Monitor,Electronics,12,9844.0,10,118128.0,106315.2,2026-06,Large
101069,2026-01-25,CUST01069,Tanta,Unknown,Printer,Office Equipment,1,7344.0,15,7344.0,6242.4,2026-01,Medium
101070,2026-08-10,CUST01070,Aswan,Unknown,Notebook Pack,Stationery,2,261.6,20,523.2,418.56,2026-08,Small
101071,2026-03-23,CUST01071,Luxor,Unknown,Laptop,Electronics,3,31350.0,0,94050.0,94050.0,2026-03,Large
101072,2026-10-08,CUST01072,Port Said,Unknown,Smartphone,Electronics,4,13050.0,5,52200.0,49590.0,2026-10,Large
101073,2026-05-21,CUST01073,Cairo,Greater Cairo,Wireless Mouse,Accessories,5,409.5,10,2047.5,1842.75,2026-05,Medium
101074,2026-12-06,CUST01074,Giza,Greater Cairo,Keyboard,Accessories,6,782.0,15,4692.0,3988.2,2026-12,Medium
101075,2026-07-19,CUST01075,Alexandria,Coastal,Office Chair,Furniture,7,4836.0,20,33852.0,27081.6,2026-07,Large
101076,2026-02-04,CUST01076,Mansoura,Delta,Desk,Furniture,8,6956.0,0,55648.0,55648.0,2026-02,Large
101077,2026-09-17,CUST01077,Tanta,Unknown,Headphones,Electronics,9,1710.0,5,15390.0,14620.5,2026-09,Large
101078,2026-04-02,CUST01078,Aswan,Unknown,Monitor,Electronics,10,8832.0,10,88320.0,79488.0,2026-04,Large
101079,2026-11-15,CUST01079,Luxor,Unknown,Printer,Office Equipment,11,6596.0,15,72556.0,61672.6,2026-11,Large
101080,2026-06-28,CUST01080,Port Said,Unknown,Notebook Pack,Stationery,12,235.2,20,2822.4,2257.92,2026-06,Medium
101081,2025-01-13,CUST01081,Cairo,Greater Cairo,Laptop,Electronics,1,28215.0,0,28215.0,28215.0,2025-01,Large
101082,2025-08-26,CUST01082,Giza,Greater Cairo,Smartphone,Electronics,2,14500.0,5,29000.0,27550.0,2025-08,Large
101083,2025-03-11,CUST01083,Alexandria,Coastal,Wireless Mouse,Accessories,3,454.5,10,1363.5,1227.15,2025-03,Medium
101084,2025-10-24,CUST01084,Mansoura,Delta,Keyboard,Accessories,4,867.0,15,3468.0,2947.8,2025-10,Medium
101085,2025-05-09,CUST01085,Tanta,Unknown,Office Chair,Furniture,5,5356.0,20,26780.0,21424.0,2025-05,Large
101086,2025-12-22,CUST01086,Aswan,Unknown,Desk,Furniture,6,7696.0,0,46176.0,46176.0,2025-12,Large
101087,2025-07-07,CUST01087,Luxor,Unknown,Headphones,Electronics,7,1890.0,0,13230.0,13230.0,2025-07,Large
101088,2025-02-20,CUST01088,Port Said,Unknown,Monitor,Electronics,8,9752.0,10,78016.0,70214.4,2025-02,Large
101089,2025-09-05,CUST01089,Cairo,Greater Cairo,Printer,Office Equipment,9,7276.0,15,65484.0,55661.4,2025-09,Large
101090,2025-04-18,CUST01090,Giza,Greater Cairo,Notebook Pack,Stationery,10,259.2,20,2592.0,2073.6,2025-04,Medium
101091,2025-11-03,CUST01091,Alexandria,Coastal,Laptop,Electronics,11,31065.0,0,341715.0,341715.0,2025-11,Large
101092,2025-06-16,CUST01092,Mansoura,Delta,Smartphone,Electronics,12,15950.0,5,191400.0,181830.0,2025-06,Large
101093,2025-01-01,CUST01093,Tanta,Unknown,Wireless Mouse,Accessories,1,405.0,10,405.0,364.5,2025-01,Small
101094,2025-08-14,CUST01094,Aswan,Unknown,Keyboard,Accessories,2,773.5,15,1547.0,1314.95,2025-08,Medium
101095,2025-03-27,CUST01095,Luxor,Unknown,Office Chair,Furniture,3,4784.0,20,14352.0,11481.6,2025-03,Large
101096,2025-10-12,CUST01096,Port Said,Unknown,Desk,Furniture,4,6882.0,0,27528.0,27528.0,2025-10,Large
101097,2025-05-25,CUST01097,Cairo,Greater Cairo,Headphones,Electronics,5,1692.0,5,8460.0,8037.0,2025-05,Medium
101098,2025-12-10,CUST01098,Giza,Greater Cairo,Monitor,Electronics,6,8740.0,10,52440.0,47196.0,2025-12,Large
101099,2025-07-23,CUST01099,Alexandria,Coastal,Printer,Office Equipment,7,6528.0,15,45696.0,38841.6,2025-07,Large
101100,2025-02-08,CUST01100,Mansoura,Delta,Notebook Pack,Stationery,8,232.8,20,1862.4,1489.92,2025-02,Medium
101101,2025-09-21,CUST01101,Tanta,Unknown,Laptop,Electronics,9,27930.0,0,251370.0,251370.0,2025-09,Large
101102,2025-04-06,CUST01102,Aswan,Unknown,Smartphone,Electronics,10,14355.0,5,143550.0,136372.5,2025-04,Large
101103,2025-11-19,CUST01103,Luxor,Unknown,Wireless Mouse,Accessories,11,450.0,10,4950.0,4455.0,2025-11,Medium
101104,2025-06-04,CUST01104,Port Said,Unknown,Keyboard,Accessories,12,858.5,15,10302.0,8756.7,2025-06,Medium
101105,2025-01-17,CUST01105,Cairo,Greater Cairo,Office Chair,Furniture,1,5304.0,20,5304.0,4243.2,2025-01,Medium
101106,2025-08-02,CUST01106,Giza,Greater Cairo,Desk,Furniture,2,7622.0,0,15244.0,15244.0,2025-08,Large
101107,2025-03-15,CUST01107,Alexandria,Coastal,Headphones,Electronics,3,1872.0,5,5616.0,5335.2,2025-03,Medium
101108,2025-10-28,CUST01108,Mansoura,Delta,Monitor,Electronics,4,9660.0,10,38640.0,34776.0,2025-10,Large
101109,2025-05-13,CUST01109,Tanta,Unknown,Printer,Office Equipment,5,7208.0,15,36040.0,30634.0,2025-05,Large
101110,2025-12-26,CUST01110,Aswan,Unknown,Notebook Pack,Stationery,6,256.8,20,1540.8,1232.64,2025-12,Medium
101111,2025-07-11,CUST01111,Luxor,Unknown,Laptop,Electronics,7,30780.0,0,215460.0,215460.0,2025-07,Large
101112,2025-02-24,CUST01112,Port Said,Unknown,Smartphone,Electronics,8,15805.0,5,126440.0,120118.0,2025-02,Large
101113,2025-09-09,CUST01113,Cairo,Greater Cairo,Wireless Mouse,Accessories,9,495.0,10,4455.0,4009.5,2025-09,Medium
101114,2025-04-22,CUST01114,Giza,Greater Cairo,Keyboard,Accessories,10,765.0,15,7650.0,6502.5,2025-04,Medium
101115,2025-11-07,CUST01115,Alexandria,Coastal,Office Chair,Furniture,11,4732.0,20,52052.0,41641.6,2025-11,Large
101116,2025-06-20,CUST01116,Mansoura,Delta,Desk,Furniture,12,6808.0,0,81696.0,81696.0,2025-06,Large
101117,2025-01-05,CUST01117,Tanta,Unknown,Headphones,Electronics,1,1674.0,5,1674.0,1590.3,2025-01,Medium
101118,2025-08-18,CUST01118,Aswan,Unknown,Monitor,Electronics,2,8648.0,10,17296.0,15566.4,2025-08,Large
101119,2025-03-03,CUST01119,Luxor,Unknown,Printer,Office Equipment,3,6460.0,15,19380.0,16473.0,2025-03,Large
101120,2025-10-16,CUST01120,Port Said,Unknown,Notebook Pack,Stationery,4,230.4,20,921.6,737.28,2025-10,Small
101121,2025-05-01,CUST01121,Cairo,Greater Cairo,Laptop,Electronics,5,27645.0,0,138225.0,138225.0,2025-05,Large
101122,2025-12-14,CUST01122,Giza,Greater Cairo,Smartphone,Electronics,6,14210.0,5,85260.0,80997.0,2025-12,Large
101123,2025-07-27,CUST01123,Alexandria,Coastal,Wireless Mouse,Accessories,7,445.5,10,3118.5,2806.65,2025-07,Medium
101124,2025-02-12,CUST01124,Mansoura,Delta,Keyboard,Accessories,8,850.0,15,6800.0,5780.0,2025-02,Medium
101125,2025-09-25,CUST01125,Tanta,Unknown,Office Chair,Furniture,9,5252.0,20,47268.0,37814.4,2025-09,Large
101126,2025-04-10,CUST01126,Aswan,Unknown,Desk,Furniture,10,7548.0,0,75480.0,75480.0,2025-04,Large
101127,2025-11-23,CUST01127,Luxor,Unknown,Headphones,Electronics,11,1854.0,5,20394.0,19374.3,2025-11,Large
101128,2025-06-08,CUST01128,Port Said,Unknown,Monitor,Electronics,12,9568.0,10,114816.0,103334.4,2025-06,Large
101129,2025-01-21,CUST01129,Cairo,Greater Cairo,Printer,Office Equipment,1,7140.0,15,7140.0,6069.0,2025-01,Medium
101130,2025-08-06,CUST01130,Giza,Greater Cairo,Notebook Pack,Stationery,2,254.4,20,508.8,407.04,2025-08,Small
101131,2025-03-19,CUST01131,Alexandria,Coastal,Laptop,Electronics,3,30495.0,0,91485.0,91485.0,2025-03,Large
101132,2025-10-04,CUST01132,Mansoura,Delta,Smartphone,Electronics,4,15660.0,5,62640.0,59508.0,2025-10,Large
101133,2025-05-17,CUST01133,Tanta,Unknown,Wireless Mouse,Accessories,5,490.5,10,2452.5,2207.25,2025-05,Medium
101134,2025-12-02,CUST01134,Aswan,Unknown,Keyboard,Accessories,6,935.0,15,5610.0,4768.5,2025-12,Medium
101135,2025-07-15,CUST01135,Luxor,Unknown,Office Chair,Furniture,7,4680.0,20,32760.0,26208.0,2025-07,Large
101136,2025-02-28,CUST01136,Port Said,Unknown,Desk,Furniture,8,6734.0,0,53872.0,53872.0,2025-02,Large
101137,2025-09-13,CUST01137,Cairo,Greater Cairo,Headphones,Electronics,9,1656.0,5,14904.0,14158.8,2025-09,Large
101138,2025-04-26,CUST01138,Giza,Greater Cairo,Monitor,Electronics,10,8556.0,10,85560.0,77004.0,2025-04,Large
101139,2025-11-11,CUST01139,Alexandria,Coastal,Printer,Office Equipment,11,6392.0,15,70312.0,59765.2,2025-11,Large
101140,2025-06-24,CUST01140,Mansoura,Delta,Notebook Pack,Stationery,12,228.0,20,2736.0,2188.8,2025-06,Medium
101141,2025-01-09,CUST01141,Tanta,Unknown,Laptop,Electronics,1,27360.0,0,27360.0,27360.0,2025-01,Large
101142,2025-08-22,CUST01142,Aswan,Unknown,Smartphone,Electronics,2,14065.0,5,28130.0,26723.5,2025-08,Large
101143,2025-03-07,CUST01143,Luxor,Unknown,Wireless Mouse,Accessories,3,441.0,10,1323.0,1190.7,2025-03,Medium
101144,2025-10-20,CUST01144,Port Said,Unknown,Keyboard,Accessories,4,841.5,15,3366.0,2861.1,2025-10,Medium
101145,2025-05-05,CUST01145,Cairo,Greater Cairo,Office Chair,Furniture,5,5200.0,20,26000.0,20800.0,2025-05,Large
101146,2025-12-18,CUST01146,Giza,Greater Cairo,Desk,Furniture,6,7474.0,0,44844.0,44844.0,2025-12,Large
101147,2025-07-03,CUST01147,Alexandria,Coastal,Headphones,Electronics,7,1836.0,5,12852.0,12209.4,2025-07,Large
101148,2025-02-16,CUST01148,Mansoura,Delta,Monitor,Electronics,8,9476.0,10,75808.0,68227.2,2025-02,Large
101149,2025-09-01,CUST01149,Tanta,Unknown,Printer,Office Equipment,9,7072.0,15,63648.0,54100.8,2025-09,Large
101150,2025-04-14,CUST01150,Aswan,Unknown,Notebook Pack,Stationery,10,252.0,20,2520.0,2016.0,2025-04,Medium
101151,2025-11-27,CUST01151,Luxor,Unknown,Laptop,Electronics,11,30210.0,0,332310.0,332310.0,2025-11,Large
101152,2025-06-12,CUST01152,Port Said,Unknown,Smartphone,Electronics,12,15515.0,5,186180.0,176871.0,2025-06,Large
101153,2025-01-25,CUST01153,Cairo,Greater Cairo,Wireless Mouse,Accessories,1,486.0,10,486.0,437.4,2025-01,Small
101154,2025-08-10,CUST01154,Giza,Greater Cairo,Keyboard,Accessories,2,926.5,15,1853.0,1575.05,2025-08,Medium
101155,2025-03-23,CUST01155,Alexandria,Coastal,Office Chair,Furniture,3,5720.0,20,17160.0,13728.0,2025-03,Large
101156,2025-10-08,CUST01156,Mansoura,Delta,Desk,Furniture,4,6660.0,0,26640.0,26640.0,2025-10,Large
101157,2025-05-21,CUST01157,Tanta,Unknown,Headphones,Electronics,5,1638.0,5,8190.0,7780.5,2025-05,Medium
101158,2025-12-06,CUST01158,Aswan,Unknown,Monitor,Electronics,6,8464.0,10,50784.0,45705.6,2025-12,Large
101159,2025-07-19,CUST01159,Luxor,Unknown,Printer,Office Equipment,7,6324.0,15,44268.0,37627.8,2025-07,Large
101160,2025-02-04,CUST01160,Port Said,Unknown,Notebook Pack,Stationery,8,225.6,20,1804.8,1443.84,2025-02,Medium
101161,2025-09-17,CUST01161,Cairo,Greater Cairo,Laptop,Electronics,9,27075.0,0,243675.0,243675.0,2025-09,Large
101162,2025-04-02,CUST01162,Giza,Greater Cairo,Smartphone,Electronics,10,13920.0,5,139200.0,132240.0,2025-04,Large
101163,2025-11-15,CUST01163,Alexandria,Coastal,Wireless Mouse,Accessories,11,436.5,10,4801.5,4321.35,2025-11,Medium
101164,2025-06-28,CUST01164,Mansoura,Delta,Keyboard,Accessories,12,833.0,15,9996.0,8496.6,2025-06,Medium
101165,2025-01-13,CUST01165,Unknown,Unknown,Office Chair,Furniture,1,5148.0,20,5148.0,4118.4,2025-01,Medium
101166,2025-08-26,CUST01166,Aswan,Unknown,Desk,Furniture,2,7400.0,0,14800.0,14800.0,2025-08,Large
101167,2025-03-11,CUST01167,Luxor,Unknown,Headphones,Electronics,3,1818.0,5,5454.0,5181.3,2025-03,Medium
101168,2025-10-24,CUST01168,Port Said,Unknown,Monitor,Electronics,4,9384.0,10,37536.0,33782.4,2025-10,Large
101169,2025-05-09,CUST01169,Cairo,Greater Cairo,Printer,Office Equipment,5,7004.0,15,35020.0,29767.0,2025-05,Large
101170,2025-12-22,CUST01170,Giza,Greater Cairo,Notebook Pack,Stationery,6,249.6,20,1497.6,1198.08,2025-12,Medium
101171,2025-07-07,CUST01171,Alexandria,Coastal,Laptop,Electronics,7,29925.0,0,209475.0,209475.0,2025-07,Large
101172,2025-02-20,CUST01172,Mansoura,Delta,Smartphone,Electronics,8,15370.0,5,122960.0,116812.0,2025-02,Large
101173,2025-09-05,CUST01173,Tanta,Unknown,Wireless Mouse,Accessories,9,481.5,10,4333.5,3900.15,2025-09,Medium
101174,2025-04-18,CUST01174,Aswan,Unknown,Keyboard,Accessories,10,918.0,15,9180.0,7803.0,2025-04,Medium
101175,2025-11-03,CUST01175,Luxor,Unknown,Office Chair,Furniture,11,5668.0,20,62348.0,49878.4,2025-11,Large
101176,2025-06-16,CUST01176,Port Said,Unknown,Desk,Furniture,12,8140.0,0,97680.0,97680.0,2025-06,Large
101177,2025-01-01,CUST01177,Cairo,Greater Cairo,Headphones,Electronics,1,1620.0,5,1620.0,1539.0,2025-01,Medium
101178,2025-08-14,CUST01178,Giza,Greater Cairo,Monitor,Electronics,2,8372.0,10,16744.0,15069.6,2025-08,Large
101179,2025-03-27,CUST01179,Alexandria,Coastal,Printer,Office Equipment,3,6256.0,15,18768.0,15952.8,2025-03,Large
101180,2025-10-12,CUST01180,Mansoura,Delta,Notebook Pack,Stationery,4,223.2,20,892.8,714.24,2025-10,Small
101181,2025-05-25,CUST01181,Tanta,Unknown,Laptop,Electronics,5,26790.0,0,133950.0,133950.0,2025-05,Large
101182,2025-12-10,CUST01182,Aswan,Unknown,Smartphone,Electronics,6,13775.0,5,82650.0,78517.5,2025-12,Large
101183,2025-07-23,CUST01183,Luxor,Unknown,Wireless Mouse,Accessories,7,432.0,10,3024.0,2721.6,2025-07,Medium
101184,2025-02-08,CUST01184,Port Said,Unknown,Keyboard,Accessories,8,824.5,15,6596.0,5606.6,2025-02,Medium
101185,2025-09-21,CUST01185,Cairo,Greater Cairo,Office Chair,Furniture,9,5096.0,20,45864.0,36691.2,2025-09,Large
101186,2025-04-06,CUST01186,Giza,Greater Cairo,Desk,Furniture,10,7326.0,0,73260.0,73260.0,2025-04,Large
101187,2025-11-19,CUST01187,Alexandria,Coastal,Headphones,Electronics,11,1800.0,5,19800.0,18810.0,2025-11,Large
101188,2025-06-04,CUST01188,Mansoura,Delta,Monitor,Electronics,12,9292.0,10,111504.0,100353.6,2025-06,Large
101189,2025-01-17,CUST01189,Tanta,Unknown,Printer,Office Equipment,1,6936.0,15,6936.0,5895.6,2025-01,Medium
101190,2025-08-02,CUST01190,Aswan,Unknown,Notebook Pack,Stationery,2,247.2,20,494.4,395.52,2025-08,Small
101191,2025-03-15,CUST01191,Luxor,Unknown,Laptop,Electronics,3,29640.0,0,88920.0,88920.0,2025-03,Large
101192,2025-10-28,CUST01192,Port Said,Unknown,Smartphone,Electronics,4,15225.0,5,60900.0,57855.0,2025-10,Large
101193,2025-05-13,CUST01193,Cairo,Greater Cairo,Wireless Mouse,Accessories,5,477.0,10,2385.0,2146.5,2025-05,Medium
101194,2025-12-26,CUST01194,Giza,Greater Cairo,Keyboard,Accessories,6,909.5,15,5457.0,4638.45,2025-12,Medium
101195,2025-07-11,CUST01195,Alexandria,Coastal,Office Chair,Furniture,7,5616.0,20,39312.0,31449.6,2025-07,Large
101196,2025-02-24,CUST01196,Mansoura,Delta,Desk,Furniture,8,8066.0,0,64528.0,64528.0,2025-02,Large
101197,2025-09-09,CUST01197,Tanta,Unknown,Headphones,Electronics,9,1980.0,5,17820.0,16929.0,2025-09,Large
101198,2025-04-22,CUST01198,Aswan,Unknown,Monitor,Electronics,10,8280.0,10,82800.0,74520.0,2025-04,Large
101199,2025-11-07,CUST01199,Luxor,Unknown,Printer,Office Equipment,11,6188.0,15,68068.0,57857.8,2025-11,Large
101200,2025-06-20,CUST01200,Port Said,Unknown,Notebook Pack,Stationery,12,220.8,20,2649.6,2119.68,2025-06,Medium
101201,2025-01-05,CUST01201,Cairo,Greater Cairo,Laptop,Electronics,1,26505.0,0,26505.0,26505.0,2025-01,Large
101202,2025-08-18,CUST01202,Giza,Greater Cairo,Smartphone,Electronics,2,13630.0,5,27260.0,25897.0,2025-08,Large
101203,2025-03-03,CUST01203,Alexandria,Coastal,Wireless Mouse,Accessories,3,427.5,10,1282.5,1154.25,2025-03,Medium
101204,2025-10-16,CUST01204,Mansoura,Delta,Keyboard,Accessories,4,816.0,15,3264.0,2774.4,2025-10,Medium
101205,2025-05-01,CUST01205,Tanta,Unknown,Office Chair,Furniture,5,5044.0,20,25220.0,20176.0,2025-05,Large
101206,2025-12-14,CUST01206,Aswan,Unknown,Desk,Furniture,6,7252.0,0,43512.0,43512.0,2025-12,Large
101207,2025-07-27,CUST01207,Luxor,Unknown,Headphones,Electronics,7,1782.0,5,12474.0,11850.3,2025-07,Large
101208,2025-02-12,CUST01208,Port Said,Unknown,Monitor,Electronics,8,9200.0,10,73600.0,66240.0,2025-02,Large
101209,2025-09-25,CUST01209,Cairo,Greater Cairo,Printer,Office Equipment,9,6868.0,15,61812.0,52540.2,2025-09,Large
101210,2025-04-10,CUST01210,Giza,Greater Cairo,Notebook Pack,Stationery,10,244.8,20,2448.0,1958.4,2025-04,Medium
101211,2025-11-23,CUST01211,Alexandria,Coastal,Laptop,Electronics,11,29355.0,0,322905.0,322905.0,2025-11,Large
101212,2025-06-08,CUST01212,Mansoura,Delta,Smartphone,Electronics,12,15080.0,5,180960.0,171912.0,2025-06,Large
101213,2025-01-21,CUST01213,Tanta,Unknown,Wireless Mouse,Accessories,1,472.5,10,472.5,425.25,2025-01,Small
101214,2025-08-06,CUST01214,Aswan,Unknown,Keyboard,Accessories,2,901.0,15,1802.0,1531.7,2025-08,Medium
